event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_0,0,1846146,114,142,00:03.4,00:06.2,0,3,2.8,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,62445,B. Banda,19,CF,149873,A. Moorhouse,1,GK,2334,Orlando Pride,2.83,12.47,2,half_space_left,2,middle_third,False,17.12,10.68,2,half_space_left,2,middle_third,False,8_1,113,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,14.47,-7.14,1,forward,False,False,18.85,2,running,5.9,7.08,1.18,22.7,23.55,19.87,6.43,-13.44,32.3,31.45,-0.85,False,True,3,ahead,3,ahead,44.09,56.63,-39.55,0.32,3,center,1,defensive_third,False,-38.57,0.4,3,center,1,defensive_third,False,True,False,,False,False,0.0038,0.7794,0.8661,True,False,1,False,,,,True,4,7,3,False,False,
1_1,1,1846146,118,135,00:03.8,00:05.5,0,3,1.7,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,610122,S. Yates,16,LW,149873,A. Moorhouse,1,GK,2334,Orlando Pride,3.97,20.85,1,wide_left,2,middle_third,False,11.87,20.53,1,wide_left,2,middle_third,False,8_1,113,3,drawing,0,0,1,6,direct,15,defending_direct,False,False,7.49,-2.32,1,forward,False,False,15.3,2,running,7.3,2.36,-4.95,22.32,21.82,18.35,9.95,-8.4,32.68,33.18,0.5,False,False,3,ahead,3,ahead,48.1,54.63,-39.49,0.23,3,center,1,defensive_third,False,-38.83,0.19,3,center,1,defensive_third,False,False,False,,False,False,0.0028,0.7697,0.8009,True,True,1,False,,,,True,4,7,3,False,False,
1_2,2,1846146,218,250,00:13.8,00:17.0,0,13,3.2,1,2,right_to_left,1,off_ball_run,1,behind,62445,B. Banda,19,CF,62389,Angelina,12,LM,2334,Orlando Pride,23.31,9.49,2,half_space_left,3,attacking_third,False,43.37,12.09,2,half_space_left,3,attacking_third,True,8_5,207,3,drawing,0,0,4,2,finish,8,low_block,True,False,20.83,7.39,1,forward,False,False,23.32,3,hsr,1.81,2.88,1.07,25.1,42.81,1.79,-0.56,-2.35,29.9,12.19,-17.71,True,False,3,ahead,3,ahead,9.77,14.01,14.31,13.28,2,half_space_left,2,middle_third,False,29.38,11.38,2,half_space_left,3,attacking_third,False,True,True,False,True,False,0.0306,0.6571,0.8645,True,True,0,False,True,True,False,True,0,4,4,True,True,True
1_3,3,1846146,555,585,00:47.5,00:50.5,0,47,3.0,1,2,right_to_left,1,off_ball_run,2,coming_short,62389,Angelina,12,LM,149954,K. Strom,4,LCB,2334,Orlando Pride,-6.0,19.84,2,half_space_left,2,middle_third,False,-20.53,26.18,1,wide_left,1,defensive_third,False,8_7,554,3,drawing,0,0,6,0,build_up,10,high_block,False,False,16.07,156.43,2,backward,True,False,15.09,2,running,3.13,3.33,0.2,15.61,8.16,21.61,28.69,7.08,39.39,46.84,7.45,True,True,3,ahead,3,ahead,18.94,11.45,-24.03,25.63,1,wide_left,1,defensive_third,False,-29.57,33.2,1,wide_left,1,defensive_third,False,False,False,,False,False,0.0003,0.8696,0.7106,True,False,0,False,,,,False,8,6,-2,True,True,
1_4,4,1846146,614,663,00:53.4,00:58.3,0,53,4.9,1,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,151602,A. Watt,17,RW,62445,B. Banda,19,CF,2334,Orlando Pride,6.13,-10.64,4,half_space_right,2,middle_third,False,38.18,-17.39,4,half_space_right,3,attacking_third,False,8_8,605,3,drawing,0,0,7,1,create,9,medium_block,True,False,32.47,-11.89,1,forward,False,False,24.12,3,hsr,10.46,3.77,-6.69,12.31,38.74,6.18,0.56,-5.62,42.69,16.26,-26.43,False,False,2,same_line,3,ahead,29.81,28.18,5.56,19.16,2,half_space_left,2,middle_third,False,26.0,8.02,3,center,3,attacking_third,False,True,True,True,False,True,0.017,0.5898,0.968,True,False,0,False,,,,True,1,3,2,True,True,True
1_5,5,1846146,633,698,00:55.3,01:01.8,0,55,6.5,1,2,right_to_left,1,off_ball_run,3,cross_receiver,62445,B. Banda,19,CF,151602,A. Watt,17,RW,2334,Orlando Pride,8.38,12.08,2,half_space_left,2,middle_third,False,47.04,-0.48,3,center,3,attacking_third,True,8_9,663,3,drawing,0,0,8,2,finish,8,low_block,True,False,40.52,-18.0,1,forward,False,False,22.54,3,hsr,2.95,1.6,-1.35,20.36,49.18,11.98,2.14,-9.84,34.64,5.82,-28.82,True,True,1,behind,2,same_line,27.7,12.85,16.8,-14.31,4,half_space_right,2,middle_third,False,47.05,-13.33,4,half_space_right,3,attacking_third,True,False,False,,True,True,0.245,0.3267,0.946,True,True,0,True,,,,False,3,4,1,True,True,
1_6,6,1846146,970,981,01:29.0,01:30.1,1,29,1.1,1,2,right_to_left,1,off_ball_run,4,dropping_off,149873,A. Moorhouse,1,GK,149954,K. Strom,4,LCB,2334,Orlando Pride,-38.16,8.05,3,center,1,defensive_third,False,-42.82,9.66,2,half_space_left,1,defensive_third,False,8_11,965,3,drawing,0,0,11,5,chaotic,5,chaotic,False,False,4.52,160.94,2,backward,False,False,16.04,2,running,29.88,28.96,-0.92,21.09,16.61,59.25,59.43,0.18,33.91,38.39,4.48,False,False,1,behind,1,behind,30.91,28.6,-16.86,30.45,1,wide_left,2,middle_third,False,-25.12,32.13,1,wide_left,1,defensive_third,False,False,False,,False,False,0.0,0.9556,0.7707,True,True,0,False,,,,True,10,10,0,True,True,
1_7,7,1846146,1209,1219,01:52.9,01:53.9,1,52,1.0,1,2,right_to_left,1,off_ball_run,7,pulling_wide,149882,K. Abello,2,LB,149954,K. Strom,4,LCB,2334,Orlando Pride,-41.32,22.8,1,wide_left,1,defensive_third,False,-43.93,26.81,1,wide_left,1,defensive_third,False,8_13,1196,3,drawing,0,0,12,0,build_up,10,high_block,False,False,4.81,123.06,3,sideway_left,False,False,17.13,2,running,3.52,6.35,2.83,0.61,2.23,41.93,46.16,4.23,54.39,52.77,-1.62,False,False,3,ahead,3,ahead,16.82,13.29,-55.22,13.32,2,half_space_left,1,defensive_third,False,-52.31,16.49,2,half_space_left,1,defensive_third,False,False,False,,False,False,0.0,0.7991,0.6667,True,False,0,False,,,,True,9,9,0,True,True,
1_8,8,1846146,1262,1288,01:58.2,02:00.8,1,58,2.6,1,2,right_to_left,1,off_ball_run,9,support,62389,Angelina,12,LM,610122,S. Yates,16,LW,2334,Orlando Pride,-18.91,20.62,1,wide_left,1,defensive_third,False,-7.34,16.73,2,half_space_left,2,middle_third,False,8_15,1236,3,drawing,0,0,13,1,create,9,medium_block,False,False,12.25,-18.58,1,forward,False,False,16.88,2,running,4.03,4.39,0.36,6.43,13.54,25.34,20.88,-4.46,48.57,41.46,-7.11,True,True,1,behind,1,behind,9.45,6.11,-13.86,28.61,1,wide_left,2,middle_third,False,-1.36,17.97,2,half_space_left,2,middle_third,False,False,False,,False,False,0.0037,0.7062,0.6483,True,True,3,False,,,,True,7,7,0,True,True,
1_9,9,1846146,1267,1298,01:58.7,02:01.8,1,58,3.1,1,2,right_to_left,1,off_ball_run,9,support,151151,H. McCutcheon,14,RM,610122,S. Yates,16,LW,2334,Orlando Pride,-14.11,4.73,3,center,2,middle_third,False,-2.02,-3.69,3,center,2,middle_third,False,8_15,1236,3,drawing,0,0,13,1,create,9,medium_block,False,False,14.35,-34.86,1,forward,False,False,17.15,2,running,9.33,11.79,2.46,7.45,18.14,21.56,20.16,-1.4,47.55,36.86,-10.69,False,False,2,same_line,1,behind,22.11,19.54,-11.32,26.66,1,wide_left,2,middle_third,False,2.98,15.2,2,half_space_left,2,middle_third,False,False,False,,False,False,0.0031,0.9633,0.8873,True,False,3,False,,,,True,7,7,0,True,True,
