event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,game_state_id,game_state,team_score,opponent_team_score,phase_index,player_possession_phase_index,first_player_possession_in_team_possession,last_player_possession_in_team_possession,lead_to_different_phase,issued_from_different_phase,n_player_possessions_in_phase,team_possession_loss_in_phase,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,current_team_in_possession_next_phase_type_id,current_team_in_possession_next_phase_type,current_team_out_of_possession_next_phase_type_id,current_team_out_of_possession_next_phase_type,current_team_in_possession_previous_phase_type_id,current_team_in_possession_previous_phase_type,current_team_out_of_possession_previous_phase_type_id,current_team_out_of_possession_previous_phase_type,game_interruption_before_id,game_interruption_before,game_interruption_after_id,game_interruption_after,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,start_type_id,start_type,end_type_id,end_type,one_touch,quick_pass,carry,forward_momentum,is_header,hand_pass,initiate_give_and_go,pass_angle_received,pass_direction_received_id,pass_direction_received,pass_distance_received,pass_range_received_id,pass_range_received,pass_outcome_id,pass_outcome,targeted_passing_option_event_id,high_pass,player_targeted_id,player_targeted_name,player_targeted_position_id,player_targeted_position,player_targeted_x_pass,player_targeted_y_pass,player_targeted_channel_pass_id,player_targeted_channel_pass,player_targeted_third_pass_id,player_targeted_third_pass,player_targeted_penalty_area_pass,player_targeted_x_reception,player_targeted_y_reception,player_targeted_channel_reception_id,player_targeted_channel_reception,player_targeted_third_reception_id,player_targeted_third_reception,player_targeted_penalty_area_reception,player_targeted_xpass_completion,player_targeted_difficult_pass_target,player_targeted_xthreat,player_targeted_dangerous,n_passing_options,n_off_ball_runs,n_passing_options_line_break,n_passing_options_first_line_break,n_passing_options_second_last_line_break,n_passing_options_last_line_break,n_passing_options_ahead,n_passing_options_dangerous_difficult,n_passing_options_dangerous_not_difficult,n_passing_options_not_dangerous_not_difficult,n_passing_options_not_dangerous_difficult,n_passing_options_at_start,n_passing_options_at_end,n_passing_options_ahead_at_start,n_passing_options_ahead_at_end,n_teammates_ahead_end,n_teammates_ahead_start,organised_defense,defensive_structure,n_defensive_lines,first_line_break,second_last_line_break,last_line_break,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_previous_pass_matched,is_pass_reception_matched,fully_extrapolated
8_0,0,1846146,102,102,00:02.2,00:02.2,0,2,0.0,1,2,right_to_left,8,player_possession,22542,Marta,19,CF,2334,Orlando Pride,0.01,0.2,3,center,2,middle_third,False,0.01,0.2,3,center,2,middle_third,False,3,drawing,0,0,0,1,True,False,True,True,2,False,1,create,9,medium_block,6,direct,15,defending_direct,,,,,,,,,False,False,0.0,-79.99,4,sideway_right,,,1.29,1,jogging,8.73,8.73,0.0,23.21,23.21,23.2,23.2,0.0,31.79,31.79,0.0,False,False,13,unknown,1,pass,True,False,False,False,False,False,False,,,,,,,1,successful,,,149873,A. Moorhouse,1.0,GK,-39.5,0.47,3,center,1,defensive_third,False,-39.55,0.34,3,center,1,defensive_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,,,,,,,,,,,,,,,,,40.72,3,long,179.65,2,backward,,,,,10,10,0,True,True,,False,False
8_1,1,1846146,113,132,00:03.3,00:05.2,0,3,1.9,1,2,right_to_left,8,player_possession,149873,A. Moorhouse,1,GK,2334,Orlando Pride,-39.55,0.34,3,center,1,defensive_third,False,-39.06,0.1,3,center,1,defensive_third,False,3,drawing,0,0,1,1,False,True,True,True,1,True,6,direct,15,defending_direct,5,chaotic,5,chaotic,1,create,9,medium_block,,,,,False,False,0.57,-26.1,1,forward,,,,,,37.59,28.04,-9.55,22.78,21.73,62.33,60.79,-1.54,32.22,33.27,1.05,False,False,1,pass_reception,1,pass,False,False,False,False,False,False,False,179.65,2,backward,40.72,3,long,2,unsuccessful,7_0,,62445,B. Banda,19.0,CF,12.62,11.56,2,half_space_left,2,middle_third,False,,,,,,,,0.7794,False,0.0038,False,2,2,2,0,2,0,2,0,0,2,0,1,2,1,2,10,10,True,442.0,3,True,True,False,2,second_last,1,through,52.94,3,long,12.5,1,forward,,,,,,,True,10,4,6,10,10,0,False,False,True,False,True
8_2,2,1846146,175,175,00:09.5,00:09.5,0,9,0.0,1,1,left_to_right,8,player_possession,22810,M. Swanson,19,CF,2337,Chicago RS,-14.96,-15.69,4,half_space_right,2,middle_third,False,-14.96,-15.69,4,half_space_right,2,middle_third,False,3,drawing,0,0,2,1,True,True,True,True,1,True,5,chaotic,5,chaotic,9,medium_block,1,create,15,defending_direct,6,direct,,,,,False,False,0.0,138.61,2,backward,,,5.68,1,jogging,3.7,3.7,0.0,3.19,3.19,18.15,18.15,0.0,51.81,51.81,0.0,False,False,4,recovery,1,pass,True,False,False,False,True,False,False,,,,,,,2,unsuccessful,,,817547,B. Franklin,11.0,RDM,-8.05,-6.31,3,center,2,middle_third,False,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,True,True,,True,False
8_3,3,1846146,187,187,00:10.7,00:10.7,0,10,0.0,1,2,right_to_left,8,player_possession,62389,Angelina,12,LM,2334,Orlando Pride,8.2,11.15,2,half_space_left,2,middle_third,False,8.2,11.15,2,half_space_left,2,middle_third,False,3,drawing,0,0,3,1,True,False,False,True,3,False,1,create,9,medium_block,2,finish,8,low_block,5,chaotic,5,chaotic,,,,,True,False,0.0,138.01,2,backward,,,3.83,1,jogging,5.13,5.13,0.0,28.55,28.55,20.35,20.35,0.0,26.45,26.45,0.0,True,True,2,pass_interception,1,pass,True,False,False,False,True,False,False,,,,,,,1,successful,,,22542,Marta,19.0,CF,11.08,7.2,3,center,2,middle_third,False,10.74,7.41,3,center,2,middle_third,False,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,5,5,,,,,,,,,,,,,,,,,5.21,1,short,-58.51,4,sideway_right,,,,,7,7,0,True,True,True,True,False
8_4,4,1846146,194,200,00:11.4,00:12.0,0,11,0.6,1,2,right_to_left,8,player_possession,22542,Marta,19,CF,2334,Orlando Pride,10.74,7.41,3,center,2,middle_third,False,10.59,7.92,3,center,2,middle_third,False,3,drawing,0,0,3,2,False,False,True,False,3,False,1,create,9,medium_block,2,finish,8,low_block,5,chaotic,5,chaotic,,,,,True,False,0.53,106.39,3,sideway_left,,,3.23,1,jogging,3.76,1.63,-2.14,27.07,25.84,16.33,15.25,-1.08,27.93,29.16,1.23,True,True,1,pass_reception,1,pass,False,True,False,False,False,False,False,-58.51,4,sideway_right,5.21,1,short,1,successful,7_2,False,62389,Angelina,12.0,LM,9.43,12.28,2,half_space_left,2,middle_third,False,10.88,13.02,2,half_space_left,2,middle_third,False,0.9122,False,0.0039,False,3,0,0,0,0,0,1,0,0,3,0,3,3,1,1,4,4,True,4411.0,2,,False,False,,,,,4.51,1,short,104.9,3,sideway_left,3.45,1,short,106.86,3,sideway_left,False,6,6,0,6,6,0,True,True,True,True,False
8_5,5,1846146,207,228,00:12.7,00:14.8,0,12,2.1,1,2,right_to_left,8,player_possession,62389,Angelina,12,LM,2334,Orlando Pride,10.88,13.02,2,half_space_left,2,middle_third,False,19.41,13.83,2,half_space_left,3,attacking_third,False,3,drawing,0,0,4,1,False,False,False,True,2,True,2,finish,8,low_block,15,defending_direct,6,direct,1,create,9,medium_block,,,,,True,False,8.03,5.42,1,forward,False,False,14.71,1,jogging,3.9,1.65,-2.25,24.76,28.63,13.88,9.22,-4.66,30.24,26.37,-3.87,True,True,1,pass_reception,1,pass,False,False,True,False,False,False,False,106.86,3,sideway_left,3.45,1,short,1,successful,7_6,False,62445,B. Banda,19.0,CF,27.61,11.84,2,half_space_left,3,attacking_third,False,43.37,12.09,2,half_space_left,3,attacking_third,True,0.6571,False,0.0306,True,3,1,0,0,0,0,2,0,1,2,0,3,2,2,2,3,3,False,,,,,,,,,,8.44,1,short,-13.64,1,forward,1.83,1,short,165.43,2,backward,True,5,0,5,5,6,1,True,True,True,True,False
8_6,6,1846146,252,252,00:17.2,00:17.2,0,17,0.0,1,2,right_to_left,8,player_possession,62445,B. Banda,19,CF,2334,Orlando Pride,44.71,11.84,2,half_space_left,3,attacking_third,True,44.71,11.84,2,half_space_left,3,attacking_third,True,3,drawing,0,0,4,2,False,False,True,False,2,True,2,finish,8,low_block,15,defending_direct,6,direct,1,create,9,medium_block,,,8,goal_kick_against,True,False,0.0,-10.05,1,forward,,,25.55,4,sprinting,2.89,2.89,0.0,44.15,44.15,-0.56,-0.56,0.0,10.85,10.85,0.0,False,False,1,pass_reception,2,shot,True,False,False,False,False,False,False,165.43,2,backward,1.83,1,short,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,True,True,True,,False
8_7,7,1846146,554,584,00:47.4,00:50.4,0,47,3.0,1,2,right_to_left,8,player_possession,149954,K. Strom,4,LCB,2334,Orlando Pride,-23.6,25.49,1,wide_left,1,defensive_third,False,-29.62,33.18,1,wide_left,1,defensive_third,False,3,drawing,0,0,6,1,False,False,True,True,1,False,0,build_up,10,high_block,1,create,9,medium_block,15,defending_direct,6,direct,8,goal_kick_against,,,False,False,11.55,128.06,3,sideway_left,False,False,13.43,1,jogging,2.92,2.07,-0.85,16.01,8.32,39.61,37.94,-1.67,38.99,46.68,7.69,False,False,10,goal_kick_interception,1,pass,False,False,True,False,False,False,False,,,,,,,1,successful,7_10,True,62445,B. Banda,19.0,CF,5.28,22.9,1,wide_left,2,middle_third,False,4.41,22.71,1,wide_left,2,middle_third,False,0.6094,True,0.0025,False,5,1,0,0,0,0,4,0,0,3,2,1,4,0,4,8,9,False,,,,,,,,,,36.38,3,long,-16.41,1,forward,34.18,3,long,-14.04,1,forward,True,10,3,7,10,10,0,True,True,,True,False
8_8,8,1846146,605,621,00:52.5,00:54.1,0,52,1.6,1,2,right_to_left,8,player_possession,62445,B. Banda,19,CF,2334,Orlando Pride,4.41,22.71,1,wide_left,2,middle_third,False,6.08,15.7,2,half_space_left,2,middle_third,False,3,drawing,0,0,7,1,False,False,True,True,1,False,1,create,9,medium_block,2,finish,8,low_block,0,build_up,10,high_block,,,,,True,False,7.24,-76.6,4,sideway_right,False,True,16.08,2,running,2.02,3.11,1.09,9.53,14.42,5.12,8.34,3.22,45.47,40.58,-4.89,True,True,1,pass_reception,1,pass,False,False,True,False,False,False,True,-14.04,1,forward,34.18,3,long,1,successful,7_14,True,151602,A. Watt,17.0,RW,9.64,-11.71,4,half_space_right,2,middle_third,False,38.18,-17.39,4,half_space_right,3,attacking_third,False,0.5898,True,0.017,False,2,1,0,0,0,0,1,0,0,1,1,1,2,0,1,1,0,False,,,,,,,,,,27.64,2,medium,-82.6,4,sideway_right,25.63,2,medium,-129.67,4,sideway_right,True,4,1,3,4,3,-1,True,True,True,True,False
8_9,9,1846146,663,692,00:58.3,01:01.2,0,58,2.9,1,2,right_to_left,8,player_possession,151602,A. Watt,17,RW,2334,Orlando Pride,38.18,-17.39,4,half_space_right,3,attacking_third,False,46.39,-13.18,4,half_space_right,3,attacking_third,True,3,drawing,0,0,8,1,False,True,True,True,1,True,2,finish,8,low_block,10,high_block,0,build_up,1,create,9,medium_block,,,8,goal_kick_against,True,False,9.46,27.15,1,forward,False,False,12.04,1,jogging,3.77,2.46,-1.31,38.74,47.94,0.56,1.55,0.99,16.26,7.06,-9.2,False,False,1,pass_reception,2,shot,False,False,True,False,False,False,False,-129.67,4,sideway_right,25.63,2,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,-1,True,True,True,,False
